animal_name,hair,feathers,eggs,milk,airborne,aquatic,predator,toothed,backbone,breathes,venomous,fins,legs,tail,domestic,catsize,class_type
aardvark,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,1
abelha,1,0,1,0,1,0,0,0,0,1,1,0,6,0,0,0,6
adder,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,1,3
aguia-cinzenta,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,2
alligator,0,0,1,0,0,1,1,1,1,1,0,0,4,1,0,1,3
anchovy,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,4
anta,1,0,0,1,0,0,0,1,1,1,0,0,4,0,0,0,1
antelope,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
antlion,0,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,6
aphid,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,6
aracari-banana,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2
arara-azul,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,1,2
arara-caninde,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,1,2
ariranha,1,0,0,1,0,1,1,1,1,1,0,1,4,1,0,0,1
baiacu,0,0,1,0,0,1,0,1,1,0,1,1,0,1,0,0,4
barracuda,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,4
bass,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4
bear,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,1
beetle,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,6
bicho-pau,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,7
boa,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,1,3
boar,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
boto-cor-de-rosa,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,0,1
buffalo,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
bugio,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,1
butterfly,1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,6
cachorro-vinagre,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
calf,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1
caracol-da-mata-atlantica,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7
caranguejeira,1,0,1,0,0,0,1,0,0,1,1,0,8,0,0,0,7
carp,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,4
cascudinho-de-caverna,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,4
catfish,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4
